0 COMPANY,0 COMPANY LINK,0 COMPANY LINK DOU,0 COMPANY SIZE,0 DESCRIPTION,1 COMPANY EMAIL,1 COMPANY OFFICE ADDRESS,1 COMPANY OFFICE CITY,1 COMPANY PHONE,2 COMPANY EMAIL,2 COMPANY OFFICE ADDRESS,2 COMPANY OFFICE CITY,2 COMPANY PHONE,3 COMPANY EMAIL,3 COMPANY OFFICE ADDRESS,3 COMPANY OFFICE CITY,3 COMPANY PHONE,4 COMPANY EMAIL,4 COMPANY OFFICE ADDRESS,4 COMPANY OFFICE CITY,4 COMPANY PHONE,5 COMPANY EMAIL,5 COMPANY OFFICE ADDRESS,5 COMPANY OFFICE CITY,5 COMPANY PHONE,6 COMPANY EMAIL,6 COMPANY OFFICE ADDRESS,6 COMPANY OFFICE CITY,6 COMPANY PHONE,7 COMPANY EMAIL,7 COMPANY OFFICE ADDRESS,7 COMPANY OFFICE CITY,7 COMPANY PHONE,8 COMPANY EMAIL,8 COMPANY OFFICE ADDRESS,8 COMPANY OFFICE CITY,8 COMPANY PHONE,9 COMPANY EMAIL,9 COMPANY OFFICE ADDRESS,9 COMPANY OFFICE CITY,9 COMPANY PHONE,10 COMPANY EMAIL,10 COMPANY OFFICE ADDRESS,10 COMPANY OFFICE CITY,10 COMPANY PHONE,11 COMPANY EMAIL,11 COMPANY OFFICE ADDRESS,11 COMPANY OFFICE CITY,11 COMPANY PHONE,12 COMPANY EMAIL,12 COMPANY OFFICE ADDRESS,12 COMPANY OFFICE CITY,12 COMPANY PHONE,13 COMPANY EMAIL,13 COMPANY OFFICE ADDRESS,13 COMPANY OFFICE CITY,13 COMPANY PHONE,14 COMPANY EMAIL,14 COMPANY OFFICE ADDRESS,14 COMPANY OFFICE CITY,14 COMPANY PHONE,15 COMPANY EMAIL,15 COMPANY OFFICE ADDRESS,15 COMPANY OFFICE CITY,15 COMPANY PHONE,16 COMPANY EMAIL,16 COMPANY OFFICE ADDRESS,16 COMPANY OFFICE CITY,16 COMPANY PHONE,17 COMPANY EMAIL,17 COMPANY OFFICE ADDRESS,17 COMPANY OFFICE CITY,17 COMPANY PHONE,18 COMPANY EMAIL,18 COMPANY OFFICE ADDRESS,18 COMPANY OFFICE CITY,18 COMPANY PHONE,19 COMPANY EMAIL,19 COMPANY OFFICE ADDRESS,19 COMPANY OFFICE CITY,20 COMPANY EMAIL,20 COMPANY OFFICE CITY,21 COMPANY EMAIL,21 COMPANY OFFICE CITY,22 COMPANY EMAIL,22 COMPANY OFFICE CITY,23 COMPANY OFFICE CITY,24 COMPANY OFFICE CITY,25 COMPANY OFFICE CITY,26 COMPANY OFFICE CITY,27 COMPANY OFFICE CITY,28 COMPANY OFFICE CITY,29 COMPANY OFFICE CITY,30 COMPANY OFFICE CITY
Newxel,https://newxel.com/jobs/,https://jobs.dou.ua/companies/newxel/,200...800,"https://s.dou.ua/storage-files/DOU_big_size.png
 ",team@newxel.com,Голосіївський проспект 132,Київ,,team@newxel.com,,Poland,,team@newxel.com,,Portugal,,team@newxel.com,,Romania,,team@newxel.com,,Turkey,,support@dou.ua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigma Software,https://career.sigma.software/?utm_source=dou_profile&utm_medium=sscw&utm_campaign=sscw_dou,https://jobs.dou.ua/companies/sigma-software/,1500,"https://s.dou.ua/storage-files/new_sigma_01.jpg
 https://s.dou.ua/storage-files/new_sigma_02.png
 https://s.dou.ua/storage-files/new_sigma_03.jpg
 https://s.dou.ua/storage-files/new_sigma_04b.png
 https://s.dou.ua/storage-files/new_sigma_05.jpg
 ",team@sigma.software,"вул. Ярославська, 58",Київ,+380 (67) 547–5659,team@sigma.software,"вул. Академіка Проскури, 1",Харків,+380 (57) 766–0159,team@sigma.software,"вул. Наукова, 7Д",Львів,+380 (067)7420629,daria.viazova@sigma.software,"вул. Січеславська Набережна, 53",Дніпро,+38 (066) 882–0783,team@sigma.software,"вул. Леха Качинського, 7",Одеса,+380 (48) 737–5023,team@sigma.software,вул. Магістратська 12,Вінниця,+38 (067) 742-0629,team@sigma.software,вул. Надрічна 6,Івано-Франківськ,+380 (67) 742-06-29,team@sigma.software,вул. Арцеулова 2,Луцьк,+380 (67) 547–5659,Team@sigma.software,"вул. Воскресінська, 13A",Суми,+359 889 799 842,team@sigma.software,вул. Танцорова 14,Тернопіль,+48 (22) 307–3355,team@sigma.software,вул. Героїв Майдану 53,Чернівці,+1 (646) 628–5401,team@sigma.software,"""Sveti Sveti Kiril I Metodiy"" Str. 5, 8000",Віддалено,+46 70 600 42 49,info@sigma.software,"134, Chmielna Str., room 301 00-805, Warsaw, Poland",Бургас (Болгарія),,team@sigma.software,"Wadowicka 7, 30-347 Kraków, Poland",Варшава (Польща),,info@sigma.software,"office 1.23, Estr. Malveira da Serra 920, 2750-834 Cascais, Portugal",Краків (Польща),,team@sigma.software,"229 West 43rd St. New York, NY 10036, USA",Лісабон (Португалія),,team@sigma.software,"Królowej Jadwigi 43, 61-871",Нью-Йорк (США),,info@sigma.software,"Evropská 11/2758, Prague 6, Czech Republic",Познань (Польща),,info@sigma.software,"Alsnögatan 7, 116 41, Stockholm, Sweden",Прага (Чехія),info@sigma.software,Стокгольм (Швеція),team@sigma.software,Угорщина,support@dou.ua,,,,,,,,,
Belkins Inc.,https://belkins.io/,https://jobs.dou.ua/companies/belkins/,200...800,"https://s.dou.ua/storage-files/belkins_01.png
 https://s.dou.ua/storage-files/belkins_02.png
 https://s.dou.ua/storage-files/Frame_17597.png
 https://s.dou.ua/storage-files/belkins_04.jpg
 https://s.dou.ua/storage-files/belkins_05.png
 https://s.dou.ua/storage-files/belkins_06.png
 https://s.dou.ua/storage-files/belkins_07.jpg
 https://s.dou.ua/storage-files/belkins_08.png
 ",recruitment@belkins.io,вул. Мечнікова 2,Київ,,recruitment@belkins.io,Grzybowska 60,Варшава (Польща),,support@dou.ua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgileEngine,https://join.agileengine.com/,https://jobs.dou.ua/companies/agileengine/,200...800,"AgileEngine is a privately held company established in 2010 and HQed in the Washington DC area. We rank among the fastest-growing US companies on the Inc 5000 list and the top-3 software developers in DC on Clutch.
G
row with
A
gile
E
ngine
Discover curated professional opportunities that precisely match your goals, interests, and skills. AgileEngine selects the top-10% of clients with fulfilling projects and supportive teams. We’re driven by quality in everything we do — you’ll notice the difference.
Join Us
A
gile
E
ngine in numbers
10
+
years
in the software
development market
3
year
tenure rate
12
month+
long-term projects
98
%
of AgileEngineers love
projects they’re engaged in
* based on 2021 DOU survey
99
%
of AgileEngineers love their
compensation package
* based on 2021 DOU survey
B
enefits for
A
gile
E
ngineers
•
Competitive compensation reviewed every 6 months
•
Referral bonus of up to $2000
•
Personal educational and sports budgets
•
Paid days off and sick time
•
Well-being initiatives
•
Freedom to try yourself in new roles, projects, and tech
•
Signing bonus
•
Team-building events and AE-parties
•
Health plan
•
Participation in charity events
W
e focus on
Growth-friendliness
From personalized growth roadmaps to tech talks, dev guilds, and mentoring — we offer plenty of opportunities to help you grow fast.
Open-mindedness
Your opinion matters. We’re open to new ideas and extraordinary approaches and cultivate a knowledge-sharing, trust-based culture.
Flexibility
We’re proponents of a hybrid work model and flexibility, so it’s up to you to choose the place where you feel most productive and creative.
Explore open positions
S
ome of the brands we work with
R
ecruitment process
1
Technical screening.
Your questionnaire answers and test task will help us better understand your technical skills.
2
Technical interview.
Share your expectations with our experts and ask questions related to our projects, teams, and processes.
3
Client interview.
If the project requires an interview with a client, you will get our full assistance in preparing for it.
4
Project onboarding.
We guarantee 100% support from day one to make your journey at AgileEngine exciting, smooth, and fun.
5
Offer.
If our expectations match, we’ll be happy to offer you to join our team.
H
ear from
A
gile
E
ngineers
“Excellent communication between senior management and team members. Full benefits package and the ability to have a flexible schedule if needed provide a stress-free environment to work in.”
Applications Engineer
View on Glassdoor
“Very professional and kind people to help you reach your full potential as a developer and work on interesting projects with cutting-edge technologies.”
Fullstack Developer
View on Glassdoor
A
wards and industry recognition
Fastest-growing private US companies
Top-500 fastest-growing US companies
#1 company to hire
Top-15 app developers globally
Top-75 fastest-growing US companies
Fastest-growing DC companies
Silver partner Trusted experts in quality assurance and testing automation
Featured React Native app
Apps featured by Gartner and the Webby Awards
Certified Google Cloud Partner
Looking for the right place to grow your skills and build impactful products? Explore our open positions.
Join AgileEngine
Start your professional journey smoothly with the solid support of the AgileEngine senior experts.
Get into Bootcamp
Help your friends find their dream project to grow, innovate, and change the world together with us.
Refer a Friend",careers@agileengine.com,,Київ,,careers@agileengine.com,,Харків,,careers@agileengine.com,,Львів,,careers@agileengine.com,,Одеса,,careers@agileengine.com,,Буенос-Айрес (Аргентина),,careers@agileengine.com,,Краків (Польща),,careers@agileengine.com,,Bogota,,careers@agileengine.com,,McLean,,careers@agileengine.com,,Mexico City,,support@dou.ua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacPaw,http://macpaw.com/,https://jobs.dou.ua/companies/macpaw/,200...800,"https://s.dou.ua/storage-files/About_RT9GFxU.png
 https://s.dou.ua/storage-files/Numbers_D7dQ97u.png
 https://s.dou.ua/storage-files/Values.jpg
 https://s.dou.ua/storage-files/Perks__Benefits_JVYGU8p.png
 https://s.dou.ua/storage-files/MacPaw-Internship.png
 https://s.dou.ua/storage-files/MacPawCares-initiatives.png
 https://s.dou.ua/storage-files/communities.png
 https://s.dou.ua/storage-files/recognition.png
 https://s.dou.ua/storage-files/so%D1%81ial_media.png
 ",support@dou.ua,,Київ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Playtech,http://www.playtech.com/,https://jobs.dou.ua/companies/playtech/,200...800,"Playtech is the world’s largest online gaming software supplier traded on the London Stock Exchange Main Market, offering cutting-edge, value added solutions to the industry’s leading operators. Since Playtech’s inception in 1999, its approach has been centred on the continual development of best-of-breed gaming products and content, and its success built upon strong partnerships with our licensees.
Leaders in next generation technology and content, regulated markets and responsible gambling.
Pioneers of Omni-channel gambling offering seamless, anytime, anywhere gameplay of the ultimate gaming experience and the best-performing content.
Innovators in games design, software and services, and data-driven optimisation.
We deliver the complete solution and game changing results for the world’s biggest brands.
Follow us on Instagram
www.instagram.com/playtechukraine",support@dou.ua,"22nd floor, Sportivnaya sq, 1A, Kiev, Business centre “Gulliver”",Київ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delasport,https://www.delasport.com/,https://jobs.dou.ua/companies/delasport/,200...800,"Delasport is a dynamic global technology company.
Established in 2010, Delasport provides high-quality products, advanced technologies, and services for the online gaming industry.
Delasport combines passionate and talented people who create world-class end-to-end software support and service solution for the iGaming industry.
We are establishing an R&D center in Kyiv and looking for enthusiastic talents to join our team.",support@dou.ua,"вулиця Ярославська, 58",Київ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TemaBit Fozzy Group,https://careers.temabit.com/,https://jobs.dou.ua/companies/fozzy/,800...1500,"https://s.dou.ua/storage-files/Temabit_DOU_0806.jpg
 ",personal@fozzy.ua,"вул. Бутлерова, 1",Київ,,support@dou.ua,"вул. Сосюри, 6",Дніпро,,,"проспект Павла Тичини,1в",Одеса,,,,Вінниця,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQUAD,https://squad.ua/,https://jobs.dou.ua/companies/squad/,800...1500,"https://s.dou.ua/storage-files/Frame-30.png
 ",support@dou.ua,Korolenkivska street 3,Київ,,,"Popovycha Street, 9",Львів,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airSlate,https://jobs.dou.ua/companies/airslate/,https://jobs.dou.ua/companies/airslate/,800...1500,"https://s.dou.ua/storage-files/1694.png
 https://s.dou.ua/storage-files/airslate-social.png
 ",olya@pdffiller.com,"ул. Мечникова 2, БЦ ""Парус""",Київ,,support@dou.ua,,Бостон (США),,,,Вроцлав (Польща),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
